GEO_ID,NAME,DP03_0052E,DP03_0052M,DP03_0052PE,DP03_0053E,DP03_0053M,DP03_0053PE,DP03_0054E,DP03_0054M,DP03_0054PE,DP03_0055E,DP03_0055M,DP03_0055PE,DP03_0056E,DP03_0056M,DP03_0056PE,DP03_0057E,DP03_0057M,DP03_0057PE,DP03_0058E,DP03_0058M,DP03_0058PE,DP03_0059E,DP03_0059M,DP03_0059PE,DP03_0060E,DP03_0060M,DP03_0060PE,DP03_0061E,DP03_0061M,DP03_0061PE,DP03_0062E,DP03_0062M,DP03_0062PE,DP03_0088E,DP03_0088M,DP03_0088PE
0500000US22063,"Livingston Parish, Louisiana",4620,1641,9.8,1369,786,2.9,3820,1558,8.1,3366,1343,7.2,5337,1594,11.4,8084,1807,17.2,5734,1431,12.2,10894,2475,23.2,2249,936,4.8,1541,673,3.3,62187,6786,(X),27893,2395,(X)
0500000US22071,"Orleans Parish, Louisiana",25104,2176,16.5,8742,1514,5.8,16709,1803,11.0,13547,1946,8.9,15534,1869,10.2,22869,1815,15.1,13098,1380,8.6,16496,1623,10.9,7969,1186,5.3,11685,1085,7.7,45615,2568,(X),34034,1244,(X)
0500000US22073,"Ouachita Parish, Louisiana",8002,1639,13.8,3877,1201,6.7,6489,1408,11.2,6846,1359,11.8,7952,1538,13.7,9660,1459,16.7,5719,1181,9.9,4594,1095,7.9,2520,887,4.4,2176,688,3.8,41137,3928,(X),25474,2701,(X)
0500000US22079,"Rapides Parish, Louisiana",3313,1097,6.8,2557,964,5.2,6147,1399,12.6,4414,1149,9.0,7740,1572,15.8,10590,1613,21.6,4633,1107,9.5,6225,1222,12.7,2063,823,4.2,1293,423,2.6,50490,3384,(X),27869,2051,(X)
0500000US22097,"St. Landry Parish, Louisiana",3713,998,12.2,2310,767,7.6,4409,1382,14.5,2726,941,9.0,5441,1421,17.9,3705,992,12.2,4085,1134,13.4,2604,833,8.6,999,530,3.3,449,269,1.5,38681,4714,(X),21733,1836,(X)
0500000US22103,"St. Tammany Parish, Louisiana",4644,1226,4.9,4091,1244,4.3,7334,1650,7.7,7557,1620,8.0,11309,2065,11.9,16234,2379,17.1,13944,2108,14.7,15715,2120,16.5,6493,1355,6.8,7667,1507,8.1,69076,6150,(X),33136,1876,(X)
0500000US22105,"Tangipahoa Parish, Louisiana",3512,1180,7.5,3919,1240,8.4,5405,1558,11.6,7004,1976,15.1,3758,1188,8.1,6207,1605,13.3,7069,1920,15.2,5259,1495,11.3,2794,1046,6.0,1599,766,3.4,47825,8611,(X),24217,1887,(X)
0500000US22109,"Terrebonne Parish, Louisiana",4141,1578,10.3,1135,555,2.8,5866,1763,14.6,4258,1267,10.6,5269,1494,13.1,5516,1262,13.7,4201,1094,10.5,5361,1300,13.3,2793,932,7.0,1633,583,4.1,48446,7344,(X),28402,4186,(X)
0500000US23001,"Androscoggin County, Maine",1581,661,3.4,2062,787,4.5,3467,736,7.5,4422,1129,9.6,7838,1333,17.1,7576,1389,16.5,7294,1337,15.9,6895,1004,15.0,3336,916,7.3,1453,755,3.2,63813,6580,(X),32338,2411,(X)
0500000US23003,"Aroostook County, Maine",2652,609,8.8,2781,683,9.2,4619,925,15.3,4045,881,13.4,3811,741,12.6,5675,889,18.8,3426,770,11.3,1728,469,5.7,671,319,2.2,789,313,2.6,38768,3114,(X),24169,1410,(X)
0500000US23005,"Cumberland County, Maine",5736,1479,4.6,3151,954,2.5,8142,1527,6.5,10264,1687,8.2,12322,1680,9.9,22053,2470,17.7,16814,1859,13.5,21848,2089,17.5,11260,1701,9.0,13335,1569,10.7,76059,3695,(X),44518,1803,(X)
0500000US23011,"Kennebec County, Maine",3428,1148,6.3,2756,900,5.1,5181,1197,9.5,4933,1236,9.1,8425,1539,15.5,9514,1710,17.5,8033,1373,14.7,7974,1240,14.6,1923,655,3.5,2313,640,4.2,55389,3510,(X),32418,2033,(X)
0500000US23019,"Penobscot County, Maine",2389,805,3.7,3848,1019,6.0,8322,1337,13.0,6596,1115,10.3,10600,1596,16.5,10880,1502,17.0,7685,1151,12.0,8451,1262,13.2,2967,903,4.6,2358,915,3.7,50449,3052,(X),30245,1784,(X)
0500000US23031,"York County, Maine",3157,996,3.7,2308,712,2.7,7381,1552,8.6,7552,1445,8.8,10925,1912,12.7,16576,2145,19.2,13188,1830,15.3,15359,1916,17.8,5230,1090,6.1,4551,1038,5.3,66648,3905,(X),34947,1808,(X)
0500000US24001,"Allegany County, Maryland",2328,799,8.8,1529,515,5.8,2982,770,11.2,3169,782,11.9,3498,589,13.2,5225,974,19.7,3731,854,14.1,2663,669,10.0,975,472,3.7,449,223,1.7,48867,5616,(X),23095,1400,(X)
